flight_number,origin,destination,scheduled_departure,scheduled_arrival,inbound_flight_number,inbound_origin,inbound_status,inbound_estimated_arrival,aircraft_latitude,aircraft_longitude,turnaround_time_minutes,gate_status,delay_reason,weather_status,crew_status,passenger_load_factor,estimated_boarding_start,estimated_ready_time
AC350,YYZ,YYC,2025-03-15 17:34,2025-03-15 22:34,AC242,YYC,On Time,2025-03-15 17:21,50.3664,-109.9492,51,Occupied,ATC,Overcast,In Transit,0.76,2025-03-15 17:32,2025-03-15 18:22
AC559,YEG,YOW,2025-03-15 19:50,2025-03-16 00:50,AC928,YYC,Delayed,2025-03-15 19:10,51.5843,-113.8862,123,Unassigned,Crew,Blizzard,Rest Period,0.87,2025-03-15 21:43,2025-03-15 22:23
AC487,YYJ,YVR,2025-03-15 10:00,2025-03-15 11:23,AC665,YVR,En Route,2025-03-15 10:01,49.0892,-123.0209,112,Maintenance,Weather,Heavy Snow,In Transit,0.88,2025-03-15 11:37,2025-03-15 12:23
AC479,YHZ,YUL,2025-03-15 16:26,2025-03-15 19:26,AC314,YEG,Taxiing,2025-03-15 15:48,44.8578,-63.4661,47,Open,None,Rain,Ready,0.64,2025-03-15 15:48,2025-03-15 16:36
AC334,YHZ,YYZ,2025-03-15 10:23,2025-03-15 14:38,AC924,YYZ,Landed,2025-03-15 09:30,44.8451,-63.5446,49,Assigned,None,Clear,On Duty,0.7,2025-03-15 09:45,2025-03-15 10:33
AC697,YQB,YEG,2025-03-15 08:44,2025-03-15 13:44,AC470,YEG,On Time,2025-03-15 07:50,51.4973,-104.7957,66,Assigned,ATC,Fog,Ready,0.78,2025-03-15 08:34,2025-03-15 09:21
AC796,YYJ,YYZ,2025-03-15 20:06,2025-03-16 01:06,AC798,YVR,Delayed,2025-03-15 19:51,49.3103,-123.5347,45,Unassigned,ATC,Gusty Winds,Standby,0.78,2025-03-15 20:05,2025-03-15 20:53
AC991,YYJ,YVR,2025-03-15 15:54,2025-03-15 17:07,AC961,YYC,En Route,2025-03-15 15:36,50.0962,-116.9292,77,Unassigned,Crew,Heavy Snow,In Transit,0.9,2025-03-15 16:49,2025-03-15 17:33
AC187,YOW,YVR,2025-03-15 06:10,2025-03-15 11:10,AC935,YYJ,Taxiing,2025-03-15 05:16,45.3689,-75.6263,48,Assigned,None,Rain,Ready,0.67,2025-03-15 05:34,2025-03-15 06:17
AC548,YEG,YHZ,2025-03-15 07:03,2025-03-15 12:03,AC562,YQB,Delayed,2025-03-15 07:02,48.657,-86.7576,84,Maintenance,Blizzard,Blizzard,In Transit,0.88,2025-03-15 07:24,2025-03-15 08:04
AC343,YVR,YYJ,2025-03-15 13:17,2025-03-15 14:20,AC785,YHZ,En Route,2025-03-15 13:31,46.5585,-84.652,99,Occupied,De-icing,Blizzard,Rest Period,0.97,2025-03-15 13:55,2025-03-15 14:41
AC162,YYZ,YVR,2025-03-15 10:47,2025-03-15 15:47,AC845,YWG,En Route,2025-03-15 10:10,46.829,-87.8979,53,Assigned,Passenger,Overcast,In Transit,0.82,2025-03-15 10:29,2025-03-15 11:17
AC195,YYJ,YYZ,2025-03-15 11:56,2025-03-15 16:56,AC270,YOW,Landed,2025-03-15 11:11,48.6234,-123.3976,47,Open,None,Clear,On Duty,0.6,2025-03-15 11:22,2025-03-15 12:09
AC258,YYJ,YWG,2025-03-15 08:42,2025-03-15 13:42,AC403,YOW,On Time,2025-03-15 08:02,45.4249,-76.6761,40,Open,None,Clear,On Duty,0.73,2025-03-15 08:03,2025-03-15 08:44
AC222,YOW,YEG,2025-03-15 15:08,2025-03-15 20:08,AC692,YYC,On Time,2025-03-15 14:24,49.9846,-108.3566,67,Occupied,Passenger,Gusty Winds,Standby,0.78,2025-03-15 14:45,2025-03-15 15:35
AC109,YHZ,YVR,2025-03-15 14:36,2025-03-15 19:36,AC736,YYJ,On Time,2025-03-15 14:00,47.6088,-112.0217,42,Assigned,None,Clear,On Duty,0.82,2025-03-15 14:02,2025-03-15 14:46
AC783,YYJ,YYZ,2025-03-15 20:54,2025-03-16 01:54,AC406,YQB,En Route,2025-03-15 20:43,47.7307,-94.5796,49,Assigned,Fueling,Light Snow,In Transit,0.88,2025-03-15 20:59,2025-03-15 21:42
AC600,YYC,YYJ,2025-03-15 05:52,2025-03-15 08:40,AC966,YHZ,On Time,2025-03-15 05:23,47.6046,-88.3076,65,Unassigned,ATC,Light Snow,Standby,0.88,2025-03-15 05:40,2025-03-15 06:26
AC807,YVR,YQB,2025-03-15 05:36,2025-03-15 10:36,AC658,YOW,Delayed,2025-03-15 04:50,47.6022,-98.2959,73,Assigned,Catering,Fog,In Transit,0.8,2025-03-15 05:29,2025-03-15 06:14
AC462,YOW,YVR,2025-03-15 11:56,2025-03-15 16:56,AC995,YQB,Taxiing,2025-03-15 11:08,45.3507,-75.678,45,Open,None,Clear,On Duty,0.61,2025-03-15 11:20,2025-03-15 12:10
AC263,YOW,YYC,2025-03-15 19:53,2025-03-16 00:53,AC491,YVR,Cancelled,2025-03-15 19:19,49.1967,-123.1815,99,Unassigned,Technical,Thunderstorm,Delayed,0.88,2025-03-15 20:54,2025-03-15 21:40
AC459,YVR,YYC,2025-03-15 16:35,2025-03-15 19:43,AC509,YQB,Taxiing,2025-03-15 15:42,49.1505,-123.1718,43,Open,None,Overcast,Ready,0.75,2025-03-15 16:05,2025-03-15 16:50
